
2024/02/22 (15:15:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (17:45:08) | ===> btop++ v.1.3.2
2024/02/22 (17:45:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (19:09:49) | ===> btop++ v.1.3.2
2024/02/22 (19:09:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (19:10:16) | ===> btop++ v.1.3.2
2024/02/22 (19:10:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (20:33:04) | ===> btop++ v.1.3.2
2024/02/22 (20:33:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (23:03:05) | ===> btop++ v.1.3.2
2024/02/22 (23:03:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (23:03:44) | ===> btop++ v.1.3.2
2024/02/22 (23:03:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (19:53:12) | ===> btop++ v.1.3.2
2024/02/23 (19:53:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (15:22:17) | ===> btop++ v.1.3.2
2024/02/24 (15:22:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (17:23:16) | ===> btop++ v.1.3.2
2024/02/24 (17:23:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (21:23:34) | ===> btop++ v.1.3.2
2024/02/24 (21:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (22:26:31) | ===> btop++ v.1.3.2
2024/02/24 (22:26:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (22:29:30) | ===> btop++ v.1.3.2
2024/02/24 (22:29:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (23:18:36) | ===> btop++ v.1.3.2
2024/02/24 (23:18:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (23:24:12) | ===> btop++ v.1.3.2
